what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247118292140
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.javaAppletShortcut.run,1247118296578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118297125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118310468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118313843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118313843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118313921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118589906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118595625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118684140
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.export,1247118684156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118689640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118689656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118689718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118900093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118910218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118910218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118910546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118940906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118941156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119278812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119284187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119284187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119284281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119653718
