what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1247113889750
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247113890031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247113934218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117314625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117378781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117379046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117379046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117504421
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1247117566843
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1247117566984
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.javaAppletShortcut.run,1247117569359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117570281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117574187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117579093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117900843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117926562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117926562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247117926625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118013640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118027390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118027390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118027453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247118060359
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247118138546
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247118168531
