what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247119658750
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247119660796
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247119668703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119723859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119723859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119723906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119731093
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247119737531
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247119748406
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247119751609
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1247119753484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119784625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119784640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247119784734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247120397890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247120399968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247124059500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247124061968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247124063718
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1247124064000
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1247124064062
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1247124064109
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1247124064125
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1247124065453
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1247124069125
